id;vaziat;sale_mamooriat;shoroo_mamooriat;payan_mamooriat
1;DAR_ENTEZAR_TAEED_JANESHIN_SAZMAN;98912;2020-12-20T22:55:02;2020-12-21T12:09:06
2;DAR_ENTEZAR_TAEED_RIASATSAZMAN;88128;2020-12-21T06:36:19;2020-12-21T06:32:59
3;DAR_ENTEZAR_TAEED_HEYAT_RAESE_AJA;44061;2020-12-20T22:39:56;2020-12-21T11:46:41
4;SARPARAST_TIME_HESABRESI;89194;2020-12-21T08:39:48;2020-12-21T10:21:27
5;DAR_ENTEZAR_TAEED_JANESHIN_SAZMAN;6650;2020-12-21T04:57:34;2020-12-21T15:08:32
6;DAR_ENTEZAR_TAEED_HEYAT_RAESE_AJA;63382;2020-12-21T02:50:26;2020-12-21T09:45:46
7;DAR_ENTEZAR_TAEED_JANESHIN_SAZMAN;96626;2020-12-21T05:28:01;2020-12-20T21:25:38
8;DAR_ENTEZAR_TAEED_RIASATSAZMAN;70776;2020-12-20T22:36:48;2020-12-20T23:39:14
9;DAR_ENTEZAR_TAEED_MOAVEN_HESABRESI;61578;2020-12-21T04:19:50;2020-12-21T00:00:52
10;DAR_ENTEZAR_TAEED_JANESHIN_SAZMAN;87330;2020-12-20T21:24:22;2020-12-20T21:26:18
